TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES
1701766357.9754;#SYSTEM;6739014156;16935333209;4000061541;39194615
1701766357.9754;/sys/fs/cgroup/custom.slice/pg1;1262522898;2334525063;495234560;2188781
1701766357.9754;/sys/fs/cgroup/custom.slice/pg2;5381121989;14500328401;1499276827;36344514
1701766357.9754;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766358.9750;#SYSTEM;6748163170;16953052810;3994889659;39233680
1701766358.9750;/sys/fs/cgroup/custom.slice/pg1;1312402021;2432040588;502163066;2288608
1701766358.9750;/sys/fs/cgroup/custom.slice/pg2;5374394794;14482057047;1497396623;36298710
1701766358.9750;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766359.9751;#SYSTEM;6749301823;16960081621;3998534531;39242800
1701766359.9751;/sys/fs/cgroup/custom.slice/pg1;1285132815;2377103037;498438725;2227060
1701766359.9751;/sys/fs/cgroup/custom.slice/pg2;5374282462;14481740173;1497364923;36297887
1701766359.9751;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766360.9787;#SYSTEM;6734156106;16926606621;3998347769;39221269
1701766360.9787;/sys/fs/cgroup/custom.slice/pg1;1278706748;2366172010;498295176;2223338
1701766360.9787;/sys/fs/cgroup/custom.slice/pg2;5373636621;14479963711;1497185595;36293521
1701766360.9787;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766361.9750;#SYSTEM;6748194891;16959217484;3994764801;39243633
1701766361.9750;/sys/fs/cgroup/custom.slice/pg1;1298512335;2401720049;502199405;2249246
1701766361.9750;/sys/fs/cgroup/custom.slice/pg2;5374213443;14481483761;1497348289;36297261
1701766361.9750;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766362.5752;#SYSTEM;6754796563;16967489969;3997072865;39231138
1701766362.5752;/sys/fs/cgroup/custom.slice/pg1;1296513756;2396184021;498163353;2239890
1701766362.5752;/sys/fs/cgroup/custom.slice/pg2;5380091742;14497451542;1498979095;36337215
