TIMESTAMP;CPU;RAM;GPU
1700510450.889216;3.34399;0;0
1700510451.887912;40.5119;0;0
1700510452.887554;181.824;0;0
1700510453.886708;324.846;0;0
1700510454.885817;467.968;0;0
1700510455.884962;611.241;0;0
1700510456.884075;754.388;0;0
1700510457.883203;897.668;0;0
1700510458.882335;1040.94;0;0
1700510459.881567;1184.1;0;0
1700510460.880598;1327.4;0;0
1700510461.879638;1470.58;0;0
1700510462.878902;1613.64;0;0
1700510463.878044;1756.88;0;0
1700510464.877177;1900.03;0;0
1700510465.876259;2043.19;0;0
1700510466.875476;2186.41;0;0
1700510467.874541;2329.61;0;0
1700510468.873722;2472.82;0;0
1700510469.872862;2615.97;0;0
1700510470.871822;2759.21;0;0
1700510471.870751;2902.41;0;0
1700510472.870017;3045.58;0;0
1700510473.869263;3188.54;0;0
1700510474.868503;3331.76;0;0
1700510475.867685;3475.03;0;0
1700510476.866854;3618.39;0;0
1700510477.866202;3760.1;0;0
1700510478.865365;3891.41;0;0
1700510479.864441;4021.89;0;0
1700510480.863692;4152.39;0;0
1700510481.862749;4282.9;0;0
1700510482.861931;4413.44;0;0
1700510483.860947;4543.82;0;0
1700510484.860584;4672.39;0;0
1700510485.860173;4709.96;0;0
1700510486.859256;4742.56;0;0
1700510487.858443;4775.26;0;0
