TIMESTAMP;CPU;RAM;GPU
1700522075.691301;3.73645;0;0
1700522076.690818;34.5281;0;0
1700522077.687113;249.52;0;0
1700522078.685951;473.153;0;0
1700522079.684813;696.675;0;0
1700522080.684002;920.388;0;0
1700522081.683068;1143.98;0;0
1700522082.682133;1367.5;0;0
1700522083.681104;1591.02;0;0
1700522084.680170;1814.87;0;0
1700522085.679331;2038.6;0;0
1700522086.678438;2263.14;0;0
1700522087.677354;2494.33;0;0
1700522088.676452;2725.28;0;0
1700522089.675563;2956.27;0;0
1700522090.674581;3187.31;0;0
1700522091.673618;3419.38;0;0
1700522092.676760;3617.15;0;0
1700522093.675169;3740;0;0
1700522094.674866;3863.08;0;0
1700522095.673196;3986.1;0;0
1700522096.672637;4083.68;0;0
1700522097.672539;4113.86;0;0
1700522098.671784;4143.94;0;0
1700522099.670559;4174.04;0;0
