TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_INSTRUCTIONS;PERF_COUNT_HW_BRANCH_MISSES
1699897847.858932;/sys/fs/cgroup/custom.slice/pg1;10723679137;39324721206;7116291357;473359
1699897847.858932;/sys/fs/cgroup/custom.slice/pg2;10763839777;21307066145;2295353087;27889085
1699897847.858932;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897848.857990;#SYSTEM;21527664199;60689499376;9422728513;28464706
1699897848.857990;/sys/fs/cgroup/custom.slice/pg1;10723882092;39323318553;7116037301;473304
1699897848.857990;/sys/fs/cgroup/custom.slice/pg2;10763336700;21306797132;2295317323;27875535
1699897848.857990;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897849.857054;#SYSTEM;21528258076;60676508594;9422648146;28942186
1699897849.857054;/sys/fs/cgroup/custom.slice/pg1;10724042831;39341100096;7119254916;472693
1699897849.857054;/sys/fs/cgroup/custom.slice/pg2;10763756909;21275695055;2291976713;28355372
1699897849.857054;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897850.856114;#SYSTEM;21527858810;60701262932;9424889878;28472296
1699897850.856114;/sys/fs/cgroup/custom.slice/pg1;10723873334;39335071052;7118164383;474987
1699897850.856114;/sys/fs/cgroup/custom.slice/pg2;10763616706;21306483366;2295286044;27885593
1699897850.856114;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897851.855180;#SYSTEM;21527680254;60688857043;9422775471;28473401
1699897851.855180;/sys/fs/cgroup/custom.slice/pg1;10724360317;39324747059;7116296212;472539
1699897851.855180;/sys/fs/cgroup/custom.slice/pg2;10762542641;21304394016;2295060968;27886185
1699897851.855180;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897852.854236;#SYSTEM;21527750082;60693894465;9423645224;28476445
1699897852.854236;/sys/fs/cgroup/custom.slice/pg1;10722536815;39327353875;7116767534;474096
1699897852.854236;/sys/fs/cgroup/custom.slice/pg2;10763302408;21305693916;2295214354;27884785
1699897852.854236;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897853.853294;#SYSTEM;21528140943;60696117253;9423943666;28472951
1699897853.853294;/sys/fs/cgroup/custom.slice/pg1;10723797161;39329678993;7117187848;473388
1699897853.853294;/sys/fs/cgroup/custom.slice/pg2;10763804902;21306727693;2295332008;27885807
1699897853.853294;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897854.852353;#SYSTEM;21527734547;60692464169;9423227454;28465355
1699897854.852353;/sys/fs/cgroup/custom.slice/pg1;10723630185;39325894066;7116503963;474082
1699897854.852353;/sys/fs/cgroup/custom.slice/pg2;10763562012;21306965006;2295321477;27879976
1699897854.852353;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897855.851411;#SYSTEM;21527866872;60532342664;9394204212;28470844
1699897855.851411;/sys/fs/cgroup/custom.slice/pg1;10723644521;39165415521;7087463876;474254
1699897855.851411;/sys/fs/cgroup/custom.slice/pg2;10764061943;21307548023;2295392631;27887770
1699897855.851411;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897856.850475;#SYSTEM;21527556007;60662672061;9417992643;28471865
1699897856.850475;/sys/fs/cgroup/custom.slice/pg1;10723438573;39297114808;7111296177;474269
1699897856.850475;/sys/fs/cgroup/custom.slice/pg2;10763107908;21305401392;2295173991;27884738
1699897856.850475;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897857.849533;#SYSTEM;21528094841;60688937399;9422496284;28454368
1699897857.849533;/sys/fs/cgroup/custom.slice/pg1;10723834609;39320676204;7115559317;473701
1699897857.849533;/sys/fs/cgroup/custom.slice/pg2;10763994962;21308492385;2295497891;27870928
1699897857.849533;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897858.848592;#SYSTEM;21527783681;60678146266;9420718464;28462280
1699897858.848592;/sys/fs/cgroup/custom.slice/pg1;10723888320;39311844744;7113961085;474107
1699897858.848592;/sys/fs/cgroup/custom.slice/pg2;10763463110;21306301484;2295269457;27881249
1699897858.848592;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897859.847654;#SYSTEM;21528096518;60400986821;9370386787;28449688
1699897859.847654;/sys/fs/cgroup/custom.slice/pg1;10724065762;39032915481;7063485559;474900
1699897859.847654;/sys/fs/cgroup/custom.slice/pg2;10763912959;21308373497;2295498483;27868289
1699897859.847654;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897860.846713;#SYSTEM;21527974570;60640422006;9413838728;28466199
1699897860.846713;/sys/fs/cgroup/custom.slice/pg1;10723975094;39273683224;7107055659;474373
1699897860.846713;/sys/fs/cgroup/custom.slice/pg2;10763651865;21306982536;2295351586;27884604
1699897860.846713;/sys/fs/cgroup/custom.slice/test;0;0;0;0
1699897861.845775;#SYSTEM;21527915503;60655044280;9416502745;28464793
