timestamp;RAPL;glob;PG1;PG2
1700782924575.0;0.211669921875;0;0;0
1700782924575.0;0.14422607421875;0;0;0
1700782925577.0;28.98345947265625;0;0;0
1700782925577.0;13.91241455078125;0;0;0
1700782926578.0;26.31988525390625;0;0;0
1700782926578.0;11.53277587890625;0;0;0
1700782927580.0;26.2398681640625;0;0;0
1700782927580.0;11.3875732421875;0;0;0
1700782928581.0;25.9371337890625;0;0;0
1700782928581.0;11.02099609375;0;0;0
1700782929582.0;25.61474609375;0;0;0
1700782929582.0;10.4105224609375;0;0;0
1700782930583.0;26.4158935546875;0;0;0
1700782930583.0;11.788330078125;0;0;0
1700782931586.0;26.69281005859375;0;0;0
1700782931586.0;10.311767578125;0;0;0
1700782932595.0;108.33746337890625;0;0;0
1700782932595.0;92.4669189453125;0;0;0
1700782933596.0;117.83892822265625;0;0;0
1700782933596.0;98.2889404296875;0;0;0
1700782934597.0;137.85772705078125;0;0;0
1700782934597.0;114.15460205078125;0;0;0
1700782935598.0;124.65386962890625;0;0;0
1700782935598.0;116.54534912109375;0;0;0
1700782936598.0;124.69549560546875;0;0;0
1700782936598.0;116.9095458984375;0;0;0
1700782937599.0;124.79931640625;0;0;0
1700782937599.0;117.16546630859375;0;0;0
1700782938600.0;124.69378662109375;0;0;0
1700782938600.0;117.25555419921875;0;0;0
1700782939600.0;124.72265625;0;0;0
1700782939600.0;117.51788330078125;0;0;0
1700782940601.0;124.80322265625;0;0;0
1700782940601.0;118.29400634765625;0;0;0
1700782941602.0;124.68914794921875;0;0;0
1700782941602.0;118.51763916015625;0;0;0
1700782942602.0;124.6854248046875;118.10273143051569;17.2076585012439;100.89507292927178
1700782942602.0;118.593994140625;118.10273143051569;17.2076585012439;100.89507292927178
1700782943603.0;124.69219970703125;118.05723373954511;17.19211881419189;100.86511492535321
1700782943603.0;118.58831787109375;118.05723373954511;17.19211881419189;100.86511492535321
1700782944604.0;124.818115234375;118.1349478794809;17.213944955655197;100.9210029238257
1700782945605.0;124.6871337890625;118.15222574344165;17.20631336607236;100.9459123773693
1700782946605.0;124.68695068359375;118.15163208918952;17.19880988623469;100.95282220295483
1700782947606.0;124.69647216796875;118.14284959808698;16.259499142835875;101.8833504552511
1700782944604.0;118.6824951171875;118.1349478794809;17.213944955655197;100.9210029238257
1700782945605.0;118.58087158203125;118.15222574344165;17.20631336607236;100.9459123773693
1700782946605.0;118.6138916015625;118.15163208918952;17.19880988623469;100.95282220295483
1700782947606.0;118.77569580078125;118.14284959808698;16.259499142835875;101.8833504552511
1700782948607.0;124.816650390625;118.15967776957882;17.204376000959243;0
1700782948607.0;118.80877685546875;118.15967776957882;17.204376000959243;0
1700782949607.0;124.68035888671875;0;0;0
1700782950608.0;124.697021484375;124.45410956934776;61.71751522054894;62.695940374814924
1700782951609.0;124.80615234375;124.46953293971062;61.724600084740125;62.70356942178704
1700782952609.0;124.68310546875;124.41690036615313;61.68684468530859;62.66854292664436
1700782949607.0;118.8690185546875;0;0;0
1700782950608.0;119.1324462890625;124.45410956934776;61.71751522054894;62.695940374814924
1700782951609.0;119.20269775390625;124.46953293971062;61.724600084740125;62.70356942178704
1700782952609.0;119.4942626953125;124.41690036615313;61.68684468530859;62.66854292664436
1700782953610.0;124.72320556640625;124.36033200392052;61.52817572083494;62.791862557677035
1700782954611.0;124.6904296875;124.55533445357801;55.81242639112857;68.70231856166974
1700782955611.0;124.800537109375;124.52441877740404;55.79182273432459;68.69174621510348
1700782956612.0;124.69378662109375;124.55675660897292;55.80900325178873;68.70540124525776
1700782957613.0;124.70849609375;124.56330302133786;55.813190468841555;68.70964981609751
1700782953610.0;119.892578125;124.36033200392052;61.52817572083494;62.791862557677035
1700782954611.0;120.2081298828125;124.55533445357801;55.81242639112857;68.70231856166974
1700782955611.0;120.17706298828125;124.52441877740404;55.79182273432459;68.69174621510348
1700782956612.0;120.19818115234375;124.55675660897292;55.80900325178873;68.70540124525776
1700782957613.0;120.41839599609375;124.56330302133786;55.813190468841555;68.70964981609751
1700782958614.0;124.68194580078125;124.54479599931884;55.80621867772019;68.69649623702578
1700782959614.0;124.8389892578125;124.51993688286115;56.0072366051034;68.47153800964465
1700782960615.0;124.69110107421875;119.00586649417625;18.20988934377822;100.79597715039804
1700782961616.0;124.6796875;118.85793280197937;13.720906304146347;105.13702649783302
1700782962616.0;124.81280517578125;0;0;0
1700782963617.0;124.6954345703125;0;0;0
1700782964618.0;124.7215576171875;124.27299262633984;67.28365851150248;56.934706992642504
1700782958614.0;120.32781982421875;124.54479599931884;55.80621867772019;68.69649623702578
1700782959614.0;120.68597412109375;124.51993688286115;56.0072366051034;68.47153800964465
1700782960615.0;120.27288818359375;119.00586649417625;18.20988934377822;100.79597715039804
1700782961616.0;120.15362548828125;118.85793280197937;13.720906304146347;105.13702649783302
1700782965618.0;124.6917724609375;124.30927600249088;67.30457808410456;56.95114657615536
1700782966619.0;124.78143310546875;124.41513298100858;67.36113819242155;56.99916942192125
1700782967620.0;124.69305419921875;128.36183205268554;64.14335154684738;64.1640056174004
1700782968621.0;124.70880126953125;124.34444090420175;72.03509619727537;52.25855145465465
1700782962616.0;120.07476806640625;0;0;0
1700782963617.0;120.12664794921875;0;0;0
1700782964618.0;119.86029052734375;124.27299262633984;67.28365851150248;56.934706992642504
1700782965618.0;119.751220703125;124.30927600249088;67.30457808410456;56.95114657615536
1700782966619.0;119.9095458984375;124.41513298100858;67.36113819242155;56.99916942192125
1700782969621.0;124.68951416015625;124.33437429576202;72.0243580421525;52.25722260977356
