TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES
1701767674.329822;#SYSTEM;34529519;33621726;30164740;284807
1701767674.329822;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1701767674.329822;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1701767674.329822;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767675.321788;#SYSTEM;38745540;18579181;5995649226;158536
1701767675.321788;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1701767675.321788;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1701767675.321788;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767676.321782;#SYSTEM;6770783421;9354623478;3966906443;50144071
1701767676.321782;/sys/fs/cgroup/custom.slice/pg1;1431818802;2321117949;542260651;96013
1701767676.321782;/sys/fs/cgroup/custom.slice/pg2;5267895385;7002843011;1485658005;49469717
1701767676.321782;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767677.321709;#SYSTEM;6775444705;9381445812;3995048161;51390724
1701767677.321709;/sys/fs/cgroup/custom.slice/pg1;1311864463;2138073473;499207041;77633
1701767677.321709;/sys/fs/cgroup/custom.slice/pg2;5373977077;7155368647;1497321964;50605387
1701767677.321709;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767678.321777;#SYSTEM;6697537397;9252603370;3993172414;51370642
1701767678.321777;/sys/fs/cgroup/custom.slice/pg1;1288903511;2100371814;502849399;76025
1701767678.321777;/sys/fs/cgroup/custom.slice/pg2;5376794463;7161192920;1498102627;50605230
1701767678.321777;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767679.317782;#SYSTEM;6748454711;9337427697;4000406674;51364238
1701767679.317782;/sys/fs/cgroup/custom.slice/pg1;1233985348;2011212869;495131147;73698
1701767679.317782;/sys/fs/cgroup/custom.slice/pg2;5378559941;7165619385;1498580289;50619395
1701767679.317782;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767680.317782;#SYSTEM;6763314634;9363317470;3993209386;51377662
1701767680.317782;/sys/fs/cgroup/custom.slice/pg1;1325957926;2161720623;502041410;77627
1701767680.317782;/sys/fs/cgroup/custom.slice/pg2;5380143659;7165668066;1499046166;50655194
1701767680.317782;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767681.317757;#SYSTEM;6745773819;9341478000;3997821477;51266363
1701767681.317757;/sys/fs/cgroup/custom.slice/pg1;1263581049;2058962657;497552913;75960
1701767681.317757;/sys/fs/cgroup/custom.slice/pg2;5380475902;7173371261;1499121883;50560364
1701767681.317757;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767682.317777;#SYSTEM;6733942324;9324054196;3996911057;51209540
1701767682.317777;/sys/fs/cgroup/custom.slice/pg1;1270117811;2069591261;498045278;74977
1701767682.317777;/sys/fs/cgroup/custom.slice/pg2;5379847185;7173900081;1498968355;50517343
1701767682.317777;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701767683.317782;#SYSTEM;6705856151;9272802993;3999907979;51307475
1701767683.317782;/sys/fs/cgroup/custom.slice/pg1;1239677708;2020876238;495577528;72481
1701767683.317782;/sys/fs/cgroup/custom.slice/pg2;5380345912;7169147858;1499093923;50610637
