TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1684823946.913082;#SYSTEM;0;0;0;0
1684823946.913082;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823946.913082;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823947.912931;#SYSTEM;0;0;0;0
1684823947.912931;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823947.912931;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823948.924719;#SYSTEM;0;0;0;0
1684823948.924719;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823948.924719;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823949.911344;#SYSTEM;0;0;0;0
1684823949.911344;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823949.911344;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823950.910955;#SYSTEM;0;0;0;0
1684823950.910955;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823950.910955;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823951.910512;#SYSTEM;0;0;0;0
1684823951.910512;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823951.910512;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823952.909883;#SYSTEM;0;0;0;0
1684823952.909883;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823952.909883;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823953.908990;#SYSTEM;0;0;0;0
1684823953.908990;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823953.908990;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823954.907783;#SYSTEM;0;0;0;0
1684823954.907783;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823954.907783;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823955.906846;#SYSTEM;0;0;0;0
1684823955.906846;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823955.906846;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823956.907277;#SYSTEM;0;0;0;0
1684823956.907277;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823956.907277;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823957.906410;#SYSTEM;0;0;0;0
1684823957.906410;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823957.906410;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823958.907907;#SYSTEM;0;0;0;0
1684823958.907907;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823958.907907;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823959.907029;#SYSTEM;0;0;0;0
1684823959.907029;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823959.907029;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823960.908795;#SYSTEM;0;0;0;0
1684823960.908795;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823960.908795;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823961.907943;#SYSTEM;0;0;0;0
1684823961.907943;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823961.907943;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823962.907051;#SYSTEM;0;0;0;0
1684823962.907051;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823962.907051;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823963.906159;#SYSTEM;0;0;0;0
1684823963.906159;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823963.906159;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823964.905275;#SYSTEM;0;0;0;0
1684823964.905275;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823964.905275;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823965.904497;#SYSTEM;0;0;0;0
1684823965.904497;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823965.904497;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823966.903546;#SYSTEM;0;0;0;0
1684823966.903546;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823966.903546;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823967.902707;#SYSTEM;0;0;0;0
1684823967.902707;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823967.902707;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823968.901843;#SYSTEM;0;0;0;0
1684823968.901843;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823968.901843;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823969.900958;#SYSTEM;0;0;0;0
1684823969.900958;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823969.900958;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823970.900093;#SYSTEM;0;0;0;0
1684823970.900093;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823970.900093;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823971.899230;#SYSTEM;0;0;0;0
1684823971.899230;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823971.899230;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823972.898423;#SYSTEM;0;0;0;0
1684823972.898423;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823972.898423;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823973.897529;#SYSTEM;0;0;0;0
1684823973.897529;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823973.897529;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823974.896592;#SYSTEM;0;0;0;0
1684823974.896592;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823974.896592;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684823975.895878;#SYSTEM;0;0;0;0
1684823975.895878;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684823975.895878;/sys/fs/cgroup/test.slice/test;0;0;0;0
