FULL;PG1;PG2
43.532452;0;0
204.58398;63.88559999999998;0
206.10483;94.654688;0
206.34154;92.38393699999999;0
206.35686;92.94465400000001;0
206.39142;92.696309;0
206.49154;72.582434;0
206.85389;64.60911999999999;0
207.22274;67.832103;0
207.45194;71.307951;0
207.73376;72.377024;0
207.82195;70.79263;0
207.92877;75.44576;0
207.84619;74.86900599999998;0
207.88496;62.30119199999999;0
207.90965;61.572559000000005;0
207.92992;63.857089;0
207.86029;57.54422699999999;0
208.05176;63.152294000000005;0
207.91402;57.734408000000016;0
207.8352;63.594411999999984;0
207.93586;56.92228400000001;0
208.02384;52.605064999999996;0
207.99214;58.340680000000006;0
207.82285;58.29319799999999;0
207.86682;57.354643;0
207.99178;58.574404999999985;0
207.8182;57.22445500000003;0
207.86026;58.12842400000001;0
207.7921;54.06447600000001;0
207.84274;54.03443399999998;0
207.64222;57.70107699999999;0
207.50358;57.328834999999984;0
207.6784;54.400293000000005;0
207.44008;45.75455200000001;0
207.4502;54.515431;0
207.65648;58.688056999999986;0
207.36616;55.484139000000006;0
207.41294;57.886742999999996;0
207.29504;58.24529899999999;0
207.02378;57.87823;0
207.05472;57.437600999999994;0
206.91174;60.53825700000002;0
206.88472;58.130006;0
206.74189;60.79964200000002;0
206.84648;66.56526199999999;0
206.86162;64.825937;0
206.6715;66.792305;0
206.5888;60.136549;0
206.66787;66.700785;0
206.6326;66.961036;0
206.71102;62.454843;0
206.62146;72.76465699999999;0
206.5715;64.19445200000001;0
