FULL;PG1;PG2
32.279276;0;0
246.02139;7.547375000000001;0
254.7095;100.663635;0
254.61765;100.67555999999998;0
251.49902;99.39481500000001;0
249.30387;98.55087000000003;0
249.29061;98.104055;0
249.24531;98.10972700000002;0
249.34779;98.305734;0
249.28534;98.04228299999997;0
249.2005;98.27119800000003;0
249.33072;97.67840100000002;0
249.23834;98.66432599999999;0
249.29037;98.06774500000002;0
249.2321;98.26012600000001;0
249.27315;84.989014;0
249.34032;85.18429899999998;0
249.1793;91.43536399999996;0
249.36989;84.89567800000002;0
249.28016;85.33050800000001;0
249.33384;85.18208399999997;0
249.31424;91.48488399999998;0
249.34555;85.22541000000001;0
249.16829;91.55068999999997;0
249.35574;91.320942;0
249.1617;85.27105900000001;0
249.2599;85.604407;0
207.40566;58.834656;0
203.13488;66.826848;0
201.71206;67.1318;0
202.512;67.078108;0
202.24552;66.98984;0
202.30296;67.274144;0
202.15659;67.013232;0
201.61914;67.04824;0
202.52651;67.135856;0
202.21928;66.928364;0
192.25006;18.243962;0
50.892116;0;0
29.922812;0;0
30.230816;0;0
