TIMESTAMP;CPU;RAM;GPU
1700521058.93007;3.854;0;0
1700521059.92575;36.8296;0;0
1700521060.88784;268.649;0;0
1700521061.87580;506.124;0;0
1700521062.86622;742.076;0;0
1700521063.86552;973.238;0;0
1700521064.84728;1209.77;0;0
1700521065.83759;1447.92;0;0
1700521066.82736;1685.78;0;0
1700521067.81791;1923.72;0;0
1700521068.80693;2161.78;0;0
1700521069.79915;2399.88;0;0
1700521070.79005;2637.79;0;0
1700521071.78142;2875.01;0;0
1700521072.77062;3112.75;0;0
1700521073.76266;3350.37;0;0
1700521074.75325;3587.5;0;0
1700521075.75958;3810.99;0;0
1700521076.77153;3951.48;0;0
1700521077.76396;3984.88;0;0
1700521078.75652;4016.74;0;0
1700521079.74734;4048.13;0;0
