TIMESTAMP;CPU;RAM;GPU
1700512645.584407;3.31793;0;0
1700512646.582724;34.5966;0;0
1700512647.582401;176.929;0;0
1700512648.581395;321.525;0;0
1700512649.580510;466.115;0;0
1700512650.579666;610.614;0;0
1700512651.578644;755.149;0;0
1700512652.577971;899.802;0;0
1700512653.577176;1044.44;0;0
1700512654.576179;1189.01;0;0
1700512655.575409;1333.57;0;0
1700512656.574551;1478.24;0;0
1700512657.573627;1622.73;0;0
1700512658.572812;1767.33;0;0
1700512659.571661;1912.03;0;0
1700512660.570997;2056.7;0;0
1700512661.569917;2201.52;0;0
1700512662.569303;2346.17;0;0
1700512663.568442;2490.9;0;0
1700512664.567690;2635.68;0;0
1700512665.566942;2780.35;0;0
1700512666.566001;2925.11;0;0
1700512667.565080;3069.79;0;0
1700512668.564163;3214.27;0;0
1700512669.563361;3359.04;0;0
1700512670.562485;3503.73;0;0
1700512671.561726;3648.43;0;0
1700512672.560818;3793.21;0;0
1700512673.559837;3937.72;0;0
1700512674.559732;4064.38;0;0
1700512675.558699;4186.6;0;0
1700512676.557914;4308.91;0;0
1700512677.556957;4431.1;0;0
1700512678.556516;4519.82;0;0
1700512679.555682;4548.64;0;0
1700512680.554817;4580.5;0;0
1700512681.554109;4612.77;0;0
