timestamp,sensor,target,power,socket,formula,predict,ratio,scope
1684442431382,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442431884,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442432385,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442432886,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442433388,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442433889,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442434391,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442434892,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442435394,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442435895,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442436397,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442436899,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442437400,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442437902,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442438403,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442438905,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442439406,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442439908,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442440410,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442440911,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442441413,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442441914,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442442416,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442442917,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442443419,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442443921,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442444422,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442444924,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442445426,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442445927,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442446429,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442446930,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442447432,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442447933,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442448435,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442448937,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442449438,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442449940,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442450442,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442450943,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442451445,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442451946,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442452448,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442452950,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442453451,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442453953,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442454455,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442454956,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442455458,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442455960,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442456461,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442456963,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442457464,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442457966,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442458468,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442458969,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442459471,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442459973,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442460475,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442460976,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442461478,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442461979,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442462480,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442462982,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442463484,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442463985,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442464487,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442464988,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442465490,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442465992,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442466494,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442466995,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442467497,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
1684442467998,cpu,/pg,0.0,0,97b1e1af3502b2393761f98080d3bc875c2b4bd6,0.0,0.0,cpu
