FULL;PG1;PG2
35.705416;0;0
255.29648;3.3639650000000008;4.314653999999999
267.14027;133.38023600000002;133.228322
255.99483;127.37871200000002;127.23313600000003
249.14445;124.32511199999999;124.32511199999999
249.18312;124.62698800000003;124.62698800000003
249.32555;124.20380499999999;124.27441599999999
249.2446;124.23251600000005;124.09078000000005
249.12846;123.82340099999996;123.89395599999996
249.33594;124.70341000000002;124.70341000000002
249.44456;124.015624;124.29828000000003
249.04971;124.20619399999995;123.85212899999996
249.24203;124.656444;124.58557599999999
249.17018;124.26626200000003;124.40795600000003
249.2259;124.15233600000005;124.01060800000005
249.30774;116.56497000000003;101.02297400000002
249.39792;123.886694;108.489146
231.78792;10.146539;153.128965
175.65691;0;0
34.981828;0;0
30.64225;0;0
30.631686;0;0
