FULL;PG1;PG2
40.83944;0;0
182.95419;60.84767999999998;121.76388299999996
184.91811;61.31749299999999;122.56601299999998
185.20627;61.689004000000004;123.37800800000001
185.42333;61.391091999999986;123.12941899999996
185.52949;61.634698;122.78299399999996
185.50405;61.327078;122.93102499999999
185.5258;61.81877399999999;123.35971199999997
185.55816;61.367864;122.94351999999999
185.50981;61.69763999999999;123.32580099999997
185.49915;61.809819999999995;123.61964
185.55238;61.36432500000001;123.14562000000001
185.59666;61.426947999999996;122.43838399999999
185.49885;61.856190999999995;123.782119
185.56352;61.715504;107.932633
185.60494;61.65976500000001;107.88721000000002
185.77456;61.414795000000005;115.526588
185.63554;61.439812999999994;107.15602099999997
185.91667;61.902354;108.29418600000001
185.60643;61.35921400000001;100.13434900000001
185.82949;61.757495;115.43847500000001
185.86027;61.814200000000014;108.66212700000001
185.92493;61.83570400000001;107.72503700000003
185.94403;61.702772;108.153956
185.98347;61.483861;107.71861099999998
173.6934;0;125.26198300000001
164.5491;0;143.25997599999997
164.24533;0;142.62197999999998
139.86114;0;17.803424
56.75423;0;0
35.85809;0;0
34.101144;0;0
