TIMESTAMP;CPU;RAM;GPU
1700505832.328866;3.62476;0;0
1700505833.327363;34.7437;0;0
1700505834.327384;198.414;0;0
1700505835.326304;364.745;0;0
1700505836.324735;531.249;0;0
1700505837.324228;697.953;0;0
1700505838.322878;864.801;0;0
1700505839.321882;1031.61;0;0
1700505840.321003;1198.67;0;0
1700505841.320357;1365.73;0;0
1700505842.319934;1533.03;0;0
1700505843.318396;1700.16;0;0
1700505844.317594;1867.26;0;0
1700505845.317091;2034.35;0;0
1700505846.316478;2201.95;0;0
1700505847.316178;2369.66;0;0
1700505848.316861;2490.24;0;0
1700505849.315973;2518.69;0;0
1700505850.315270;2547.38;0;0
1700505851.314334;2575.51;0;0
