TIMESTAMP;CPU;RAM;GPU
1701681475.877151;0.672668;0;0
1701681476.886187;15.2556;0;0
1701681477.875170;69.3555;0;0
1701681478.874164;125.007;0;0
1701681479.873330;181.013;0;0
1701681480.872393;236.552;0;0
1701681481.871484;292.596;0;0
1701681482.870552;348.291;0;0
1701681483.869645;404.076;0;0
1701681484.868724;460.034;0;0
1701681485.867830;515.634;0;0
1701681486.866877;571.684;0;0
1701681487.865988;627.541;0;0
1701681488.865043;683.354;0;0
1701681489.864165;739.43;0;0
1701681490.863205;795.021;0;0
1701681491.862291;851.305;0;0
1701681492.861443;906.973;0;0
1701681493.860600;962.823;0;0
1701681494.859674;1018.81;0;0
1701681495.858801;1074.59;0;0
1701681496.857998;1130.71;0;0
1701681497.857129;1186.25;0;0
1701681498.856227;1242.05;0;0
1701681499.855388;1298.36;0;0
1701681500.854462;1353.71;0;0
1701681501.853643;1409.98;0;0
1701681502.852766;1465.92;0;0
1701681503.851916;1521.52;0;0
1701681504.850903;1577.72;0;0
1701681505.850096;1633.48;0;0
1701681506.849198;1689.35;0;0
1701681507.858982;1704.44;0;0
1701681508.847930;1718.22;0;0
1701681509.847136;1732.31;0;0
1701681510.846255;1746.2;0;0
