RAPL;ALL;PG1;PG2
0.02593994140625;0;0;0
14.13531494140625;0;0;0
14.208740234375;0;0;0
14.02301025390625;0;0;0
13.9833984375;0;0;0
47.31298828125;0;0;0
48.90203857421875;0;0;0
48.9720458984375;0;0;0
48.94586181640625;0;0;0
49.0218505859375;0;0;0
48.96453857421875;0;0;0
49.01739501953125;0;0;0
49.031982421875;0;0;0
49.026123046875;0;0;0
48.982666015625;0;0;0
49.0518798828125;48.81652503437401;16.22614069772092;32.45801517516764
49.250732421875;49.041418425237815;16.298964703747497;32.60571283662304
49.06536865234375;48.79972526328782;16.22331876777335;32.433289531824016
49.09588623046875;48.94907262707807;16.225296820450428;32.450157652631624
49.022216796875;48.8107937981663;16.22378188931395;32.4493461786805
49.09320068359375;48.80736984427662;16.22515909706571;32.447856226949774
49.0120849609375;48.81695313708931;16.224451592650347;32.44927461746112
49.11572265625;48.811936062974034;16.22441040837978;32.44983495315561
49.0244140625;48.806267428310065;16.22445226822958;32.44766989861803
49.11688232421875;48.809559141952526;16.22474323504054;32.449145673723415
49.0364990234375;48.80943086151226;16.224103237777253;32.449651321753564
49.14508056640625;48.807265863807814;16.224681802968924;32.44756660739028
49.13037109375;48.81991714671829;16.227413266495372;32.454864470342926
49.0789794921875;48.954097387396935;16.2268806088057;32.45326785089586
49.109619140625;48.81311179452964;16.227367360094362;32.45475982945925
49.16693115234375;48.81037366791255;16.227227610922878;32.45402531715435
49.0780029296875;48.81412712567562;16.226086014260183;32.45698766845928
49.13970947265625;48.81084272117781;16.226170403144483;32.452669710190506
49.06982421875;48.81014114160808;16.225513529723333;32.45017115486926
49.15789794921875;48.808545379472;16.226008379879033;32.451388365843044
49.17071533203125;48.81108837499654;16.225817325545076;32.451840009422526
49.09259033203125;48.810104062619985;16.225159773479724;32.45124254246511
49.15277099609375;48.81199569152931;16.226493102939465;32.45195274819648
46.4534912109375;43.17105103025102;10.443081666162218;32.44943934293913
30.68035888671875;19.83324092068279;0.0;19.63302994690914
13.87615966796875;0;0;0
13.80731201171875;0;0;0
13.8582763671875;0;0;0
13.8134765625;0;0;0
