TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1684317000.477249;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317001.476864;#SYSTEM;0;0;0;0
1684317001.476864;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317001.476864;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317002.476246;#SYSTEM;0;0;0;0
1684317002.476246;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317002.476246;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317003.475710;#SYSTEM;0;0;0;0
1684317003.475710;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317003.475710;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317004.476233;#SYSTEM;0;0;0;0
1684317004.476233;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317004.476233;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317005.480488;#SYSTEM;0;0;0;0
1684317005.480488;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317005.480488;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317006.484711;#SYSTEM;0;0;0;0
1684317006.484711;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317006.484711;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317007.496425;#SYSTEM;0;0;0;0
1684317007.496425;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317007.496425;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317008.501054;#SYSTEM;0;0;0;0
1684317008.501054;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317008.501054;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317009.500889;#SYSTEM;0;0;0;0
1684317009.500889;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317009.500889;/sys/fs/cgroup/test.slice/test;0;0;0;0
1684317010.500037;#SYSTEM;0;0;0;0
1684317010.500037;/sys/fs/cgroup/anon.slice/anon_service.service;0;0;0;0
1684317010.500037;/sys/fs/cgroup/test.slice/test;0;0;0;0
