TIMESTAMP;CPU;RAM;GPU
1700001406.83366;2.98132;0;0
1700001407.83660;36.9685;0;0
1700001408.80987;233.157;0;0
1700001409.79834;432.384;0;0
1700001410.78910;632.06;0;0
1700001411.77944;831.77;0;0
1700001412.77041;1031.37;0;0
1700001413.76059;1230.98;0;0
1700001414.75156;1430.67;0;0
1700001415.74211;1630.28;0;0
1700001416.73281;1829.98;0;0
1700001417.72316;2029.59;0;0
1700001418.71413;2229.2;0;0
1700001419.70443;2428.82;0;0
1700001420.69520;2628.54;0;0
1700001421.68581;2828.25;0;0
1700001422.67601;3027.89;0;0
1700001423.66721;3227.5;0;0
1700001424.65786;3427.24;0;0
1700001425.64854;3626.86;0;0
1700001426.63930;3826.48;0;0
1700001427.62967;4026.22;0;0
1700001428.62028;4225.9;0;0
1700001429.61105;4425.54;0;0
1700001430.60186;4625.27;0;0
1700001431.59232;4824.91;0;0
1700001432.58284;5024.65;0;0
1700001433.57380;5224.3;0;0
1700001434.56426;5423.91;0;0
1700001435.55599;5623.55;0;0
1700001436.54563;5823.29;0;0
1700001437.53620;6023;0;0
1700001438.52694;6222.67;0;0
1700001439.51640;6422.29;0;0
1700001440.50810;6622.06;0;0
1700001441.49867;6821.63;0;0
1700001442.48963;7021.39;0;0
1700001443.48003;7221.16;0;0
1700001444.47136;7420.83;0;0
1700001445.46151;7620.49;0;0
1700001446.45213;7820.26;0;0
1700001447.44261;8019.95;0;0
1700001448.43324;8219.6;0;0
1700001449.42396;8419.37;0;0
1700001450.41443;8619.05;0;0
1700001451.40524;8818.71;0;0
1700001452.39703;9018.48;0;0
1700001453.38618;9218.17;0;0
1700001454.37712;9417.86;0;0
1700001455.36762;9617.7;0;0
1700001456.35843;9817.42;0;0
1700001457.34938;10017.2;0;0
1700001458.34037;10216.4;0;0
1700001459.33701;10414.2;0;0
1700001460.32761;10606.8;0;0
1700001461.32101;10795.2;0;0
1700001462.31754;10963.9;0;0
1700001463.30895;11119;0;0
1700001464.30055;11266.3;0;0
1700001465.29531;11406.9;0;0
1700001466.28681;11545;0;0
1700001467.28025;11675.2;0;0
1700001468.27243;11801.3;0;0
1700001469.26502;11917.6;0;0
1700001470.25334;12029.6;0;0
1700001471.24822;12139.7;0;0
1700001472.24152;12226.1;0;0
1700001473.23346;12254.2;0;0
1700001474.22496;12281.7;0;0
1700001475.21757;12309.9;0;0
