TIMESTAMP;CPU;RAM;GPU
1700505074.245156;3.10767;0;0
1700505075.244592;34.6946;0;0
1700505076.243759;163.709;0;0
1700505077.242864;295.114;0;0
1700505078.241974;426.701;0;0
1700505079.241076;558.296;0;0
1700505080.240129;689.992;0;0
1700505081.239421;821.654;0;0
1700505082.238555;953.164;0;0
1700505083.237697;1084.76;0;0
1700505084.236663;1216.29;0;0
1700505085.235804;1347.9;0;0
1700505086.235008;1479.21;0;0
1700505087.234246;1610.73;0;0
1700505088.233399;1742.27;0;0
1700505089.232459;1873.87;0;0
1700505090.231653;2005.49;0;0
1700505091.230799;2137.06;0;0
1700505092.229900;2268.62;0;0
1700505093.229055;2400.25;0;0
1700505094.228049;2531.89;0;0
1700505095.227341;2663.44;0;0
1700505096.226505;2795.11;0;0
1700505097.225568;2926.61;0;0
1700505098.224706;3058.08;0;0
1700505099.223891;3189.69;0;0
1700505100.223000;3321.36;0;0
1700505101.222165;3452.98;0;0
1700505102.221335;3584.58;0;0
1700505103.220353;3716.24;0;0
1700505104.219632;3847.9;0;0
1700505105.218763;3979.46;0;0
1700505106.217944;4111.01;0;0
1700505107.217326;4237.6;0;0
1700505108.215990;4358.32;0;0
1700505109.215258;4478.8;0;0
1700505110.214668;4599.41;0;0
1700505111.214173;4675.66;0;0
1700505112.213321;4707.37;0;0
1700505113.212742;4737.84;0;0
1700505114.211790;4766.81;0;0
