TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11;FREQ12;FREQ13;FREQ14;FREQ15;FREQ16;FREQ17;FREQ18;FREQ19;FREQ20;FREQ21;FREQ22;FREQ23;FREQ24;FREQ25;FREQ26;FREQ27;FREQ28;FREQ29;FREQ30;FREQ31;FREQ32;FREQ33;FREQ34;FREQ35;FREQ36;FREQ37;FREQ38;FREQ39;FREQ40;FREQ41;FREQ42;FREQ43;FREQ44;FREQ45;FREQ46;FREQ47;FREQ48;FREQ49;FREQ50;FREQ51;FREQ52;FREQ53;FREQ54;FREQ55;FREQ56;FREQ57;FREQ58;FREQ59;FREQ60;FREQ61;FREQ62;FREQ63
1684148742.892379;59.1;6.77248;0;2219112;1000140;1000133;1000302;1000267;1000392;1000036;1000372;1000273;1000446;1000188;1000102;1000431;1000113;1000223;1000082;1000554;1001046;1000152;1000098;1000120;1000685;1000100;1000092;1000589;1000055;1000217;1000362;1091671;1926557;1473470;1061868;1000175;1390445;1000040;2865686;2196446;2839060;1062973;1265633;2995623;1982977;2951843;2065743;1441471;2793913;1003665;2351973;1000728;2096159;999984;1000414;1000881;1935765;1000042;1209914;1000242;1000149;3219988;1000335;1000250;2823971;2671544;1000077
1684148744.188380;188.014;21.3;0;3002413;2428888;2356156;2325373;1495094;1275251;1115094;1000110;1000273;1000065;1000525;1000098;1001161;1000538;1000058;1000321;1000230;1000328;1000135;1000089;1000102;1000034;1000162;1000009;1000627;1000412;1000278;1000050;1000522;1000046;1000661;1000556;1000337;1001154;1000363;1000062;1000558;1000589;1000508;1000458;1000062;1000157;1000027;1000103;1000069;1000246;1000133;1000062;999979;1000241;1000220;1000212;1000437;1000205;1000034;999520;1000283;999837;1000173;1000397;1000061;1000137;1000196;1000375
1684148745.524382;261.3;30.0603;0;2985121;3023505;1510862;1000027;1757083;1000544;2327274;2812237;1124192;2839678;2571651;2564019;2469039;2452236;2879641;2672874;2850917;2838029;2828731;2662421;2851647;1850558;2204490;2799604;2920675;2838482;2814963;2859698;2290293;2897564;2871061;2863698;2871617;2863513;2807266;2442845;2945763;2871893;2962317;2806102;2874993;2851506;2853079;2858290;2708935;2891772;2940769;1360571;2030039;2905707;3391551;1000171;1000090;1000013;1000160;1000435;1000175;1000268;1000056;1000257;1000235;1000388;1000007;2863831
1684148746.824383;449.079;49.0437;0;1017071;1000025;1000065;1000104;1000030;1000542;1000124;1000510;1000437;1000180;1000544;1000743;1000615;1000138;999954;1000092;1000088;1000051;1000281;1000090;1000750;1000325;1000414;1043652;2221310;1001342;1000002;1000543;1000448;1000443;1000311;1000294;1000438;1000096;1000514;1000238;1000131;1000360;1000056;1000208;1000090;1000509;1000161;1000081;1000063;1000062;1000013;1000254;1000361;1000453;1000113;1000014;1000044;1000043;1000074;1000140;1000259;1000184;1000365;1000033;1000370;1000421;1000305;1000118
1684148748.140378;508.975;56.4446;0;1000028;1000115;1000110;1000698;1000094;1000064;1000148;1000186;1000259;1000748;1000079;1000192;1035369;1000154;1000508;1000052;1000300;1000202;1000007;1000075;1000616;1000102;2082079;1000070;1000055;1000308;1000337;1000763;1000112;1000023;1000002;1087043;1000016;1000153;1009451;1000311;1000358;1000996;1000051;1000469;1000085;1000054;1000211;1000700;1000041;1000024;1000065;1000365;1000341;1000360;1000028;1000025;1000352;1000062;1000028;1001048;1004551;1000345;1000755;1000089;1000290;1000290;1000315;1000197
1684148749.444298;574.433;65.0727;0;1000623;999910;1000035;1000113;1000053;999856;1000085;1000740;1000028;1000926;1000572;1000072;1000362;1000438;1000052;1000078;1000033;1000028;1000024;1000045;1002370;1000029;1000653;1000184;1000412;1000502;1000059;1000011;1000935;1000051;1000147;1000126;1000117;1000200;1000385;1000257;1000051;1000469;1000059;1000373;1000115;1000042;1000814;1000239;1000010;1000075;1000174;1000043;1000193;1000297;1000339;1000266;2078680;1675564;2756274;2889900;2859061;2807475;2892485;2807023;2849542;2789843;2867175;2928775
1684148750.804313;663.144;75.4808;0;3008097;2868709;2842174;2787044;2855563;2837126;2766091;2229238;2809911;2856148;2810745;2803526;2673129;2737820;2612541;2617513;2606244;2686901;2693081;2689499;2595336;2561212;2747592;2570136;2462633;2571763;2646275;2741238;2637014;2540271;2728937;2609748;2487405;2605133;2666928;2748032;2639410;2652312;2625185;2571483;2617291;2477536;2598006;2568566;2648004;2760494;2531302;2602975;2551714;2718646;2781495;2469682;2615975;2715334;2551626;2552857;2596087;2649051;2800003;2509451;2635429;2611595;2545392;2473864
1684148752.192358;997.019;121.471;0;2786432;2570106;2799928;2800000;2558191;2587754;2658361;2573285;2581257;2543439;2706074;2552568;2551444;2766569;2480498;2799996;2584850;2444050;2788423;2673412;2752086;2582110;2672968;2504396;2542768;2543113;2703842;2601683;2720666;2545282;2645801;2556768;2627106;2648094;2721066;2651704;2476913;2625586;2528086;2572314;2453747;2691696;2606584;2592007;2531957;2747683;2622910;2657884;2481202;2689620;2633287;2496790;2503430;2684602;2594216;2526897;2543044;2670454;2597730;2594631;2641921;2599431;2583003;2567313
1684148753.596310;1362.91;175.121;0;2622661;2600189;2689307;2794650;2492251;2750598;2488573;2516668;2527661;2551945;2546236;2546196;2547943;2639068;2706166;2658988;2610463;2603165;2692324;2400474;2579104;2642432;2632551;2536304;2555400;2578083;2649360;2505215;2596664;2583120;2451199;2532878;2582606;2535501;2618511;2643386;2516520;2737367;2526400;2524363;2612423;2611989;2554695;2539922;2508430;2729712;2641949;2760392;2606775;2588142;2728117;2622909;2520588;2551715;2625489;2472666;2527177;2551235;2592422;2530268;2627569;2563965;2500303;2540318
1684148755.48337;1713.46;229.255;0;2661905;2529679;2562967;2404606;2540786;2709743;2488551;2542302;2647674;2549999;2514180;2468660;2516872;2703444;2614116;2800014;2506416;2604789;2786709;2560572;2695423;2612552;2655696;2634951;2535463;2607232;2621769;2523813;2659048;2588766;2543809;2560999;2746383;2576506;2522140;2403497;2491782;2711227;2482122;2562863;2510986;2629115;2523729;2482693;2540686;2722952;2604671;2663545;2546073;2598971;2621583;2611185;2640089;2603651;2555395;2600585;2561831;2590225;2590482;2546167;2594969;2532450;2580965;2627744
