FULL;PG1;PG2
34.109464;0;0
131.18814;129.76476;0
132.66417;131.46899000000002;0
132.75141;131.791174;0
132.77655;131.58035999999998;0
132.78449;131.58823;0
132.82798;131.62264600000003;0
132.72755;130.935542;0
132.868744;132.26752000000002;0
132.88272;131.56704000000002;0
132.88633;131.68915;0
132.88957;130.97403400000002;0
132.97562;132.613284;0
132.93488;131.61274000000003;0
132.85218;131.53679999999997;0
132.73677;131.54094;0
133.0158;131.813122;0
132.98861;131.79050999999998;0
133.041304;131.84273000000002;0
133.10215;132.01903499999997;0
132.98701;131.42527800000002;0
133.030216;131.59204599999998;0
133.20558;132.48293999999999;0
133.25168;131.93234999999999;0
133.0961;131.297495;0
133.13246;132.41021999999998;0
133.33598;132.13475;0
133.24999;131.563278;0
133.40859;132.68485;0
133.34036;131.538455;0
133.358424;132.63495000000003;0
133.40832;132.08744;0
133.35408;131.78661899999997;0
133.46715;132.74309;0
133.47365;132.02938500000002;0
133.53098;132.56598499999998;0
133.52662;132.31822999999997;0
133.50487;132.17826599999998;0
133.61499;132.41125;0
133.39512;132.19334999999998;0
133.657496;132.569866;0
133.61393;132.405838;0
133.62798;131.942576;0
133.8244;133.21884999999997;0
133.74151;132.41733;0
133.87341;132.54793000000004;0
133.90979;132.70340000000002;0
133.98718;132.05757499999996;0
134.03759;133.31044000000003;0
133.98771;132.78060999999997;0
133.96805;132.64163;0
133.99062;132.30064199999998;0
134.07081;133.34346999999997;0
134.05306;132.84537;0
126.966744;17.35629;0
