TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1683819704.780550;#SYSTEM;23320;3393479;21338908;144757169
1683819704.780550;/sys/fs/cgroup/anon.slice/anon_service.service;8176;1621346;0;5774811
1683819704.780550;/sys/fs/cgroup/test.slice/test;0;0;0;0
1683819705.780461;#SYSTEM;14736;1403672;5803429;5997583126
1683819705.780461;/sys/fs/cgroup/anon.slice/anon_service.service;2282;208748;0;2014588
1683819705.780461;/sys/fs/cgroup/test.slice/test;0;0;0;0
1683819706.794736;#SYSTEM;1212785;520304184;652058755;6080745176
1683819706.794736;/sys/fs/cgroup/anon.slice/anon_service.service;12226;537875;0;1995726
1683819706.794736;/sys/fs/cgroup/test.slice/test;646597;280398337;0;100248045
1683819707.778421;#SYSTEM;1797854;1332818951;1435612756;5892127264
1683819707.778421;/sys/fs/cgroup/anon.slice/anon_service.service;6609;225666;0;1176502
1683819707.778421;/sys/fs/cgroup/test.slice/test;1610954;1306072496;0;409715521
1683819708.778701;#SYSTEM;24661;2021131;7229688;5998782061
1683819708.778701;/sys/fs/cgroup/anon.slice/anon_service.service;4797;193098;0;2140662
1683819708.778701;/sys/fs/cgroup/test.slice/test;1323;41993;0;1187132
1683819709.778027;#SYSTEM;32789;1622868;6906061;5994850669
1683819709.778027;/sys/fs/cgroup/anon.slice/anon_service.service;3679;179005;0;1984880
1683819709.778027;/sys/fs/cgroup/test.slice/test;9842;254428;0;2137640
1683819710.777505;#SYSTEM;14492;1452016;6323588;5995687471
1683819710.777505;/sys/fs/cgroup/anon.slice/anon_service.service;3088;187441;0;2050280
1683819710.777505;/sys/fs/cgroup/test.slice/test;793;38824;0;729129
1683819711.776845;#SYSTEM;1130889;2206441760;2050385268;5986752566
1683819711.776845;/sys/fs/cgroup/anon.slice/anon_service.service;5249;183461;0;1887917
1683819711.776845;/sys/fs/cgroup/test.slice/test;1023925;2187415064;0;592215252
1683819712.775397;#SYSTEM;24666181;15995004991;14433964141;5984466133
1683819712.775397;/sys/fs/cgroup/anon.slice/anon_service.service;6980;225642;0;964947
1683819712.775397;/sys/fs/cgroup/test.slice/test;24437200;15954728429;0;3994976382
