TIMESTAMP;CPU;RAM;GPU;FREQ0;FREQ1;FREQ2;FREQ3;FREQ4;FREQ5;FREQ6;FREQ7;FREQ8;FREQ9;FREQ10;FREQ11;FREQ12;FREQ13;FREQ14;FREQ15;FREQ16;FREQ17;FREQ18;FREQ19;FREQ20;FREQ21;FREQ22;FREQ23;FREQ24;FREQ25;FREQ26;FREQ27;FREQ28;FREQ29;FREQ30;FREQ31;FREQ32;FREQ33;FREQ34;FREQ35;FREQ36;FREQ37;FREQ38;FREQ39;FREQ40;FREQ41;FREQ42;FREQ43;FREQ44;FREQ45;FREQ46;FREQ47;FREQ48;FREQ49;FREQ50;FREQ51;FREQ52;FREQ53;FREQ54;FREQ55;FREQ56;FREQ57;FREQ58;FREQ59;FREQ60;FREQ61;FREQ62;FREQ63
1684147289.488361;10.4241;1.1312;0;2900573;1007082;1000742;1000385;1000442;999899;1000188;1000423;1000448;1000219;1000038;1000642;1000390;1000424;1000185;999965;1068790;1000541;1000370;1000395;1508627;1000227;1000395;1000222;1000543;1000228;1000381;1000294;1000541;1000313;1000330;1000149;1000297;1000318;1000350;1000293;1000290;1000233;1000230;1000437;1000325;1000448;1000348;1000132;1003125;1000222;1000159;1000288;1000200;1000245;1000335;1000295;1000338;1000272;1000097;1000465;1000034;1000111;1000054;1000203;1000336;1000090;1109376;999972
1684147290.772366;49.5944;5.42332;0;2218775;1000244;1000260;1000581;999950;999969;1079257;1000416;1000123;1000507;1000536;1000472;1000800;1000421;1000372;1000048;1000530;1000203;1000217;1000493;1000652;1000372;1000223;1000246;1000420;1000360;1000719;1000098;1000265;1000104;999957;1000180;1000104;1000139;1000526;1000090;1000313;1000432;1000267;1000321;1000217;1000489;1000151;1000159;1000393;1000031;1000052;1000158;1000117;1000391;1000189;1000379;1000124;1000417;1000223;1000237;1000165;1000417;1000539;1000334;1000386;1000318;1000378;1000365
1684147292.60266;93.0009;10.2535;0;1000231;1000078;1000244;1000450;1000018;1000186;1000071;1000211;1000444;1000533;1000096;1000405;1000172;1000171;1000430;1000355;1000283;1000264;1000405;1000204;1000143;1000456;1000144;1000202;1000540;1000068;1000212;1000219;1000322;1000521;1379979;1000170;1000233;1000190;999857;1000351;1000319;1000261;3335004;1000426;1000226;1000183;1000508;1000267;2603558;1000476;3491755;1000246;1000486;1000208;1000082;1000598;1000104;1000285;1000225;1000018;3153395;1000290;3423242;1000402;1000102;1000321;2988773;1000101
1684147293.344362;168.765;18.7589;0;1000248;1000318;1000746;1000358;1000327;1000547;1106101;1000272;1000307;1000453;1000159;1000366;1000727;1000030;1000197;1000498;1000191;1000119;1000380;1000042;1000162;1000297;1000453;1000227;1000588;1000297;999929;1000143;1000147;1000334;1000111;1000321;1000346;1000213;1000281;1000286;1000482;1000215;1000528;1000092;1000193;1000118;1000367;1000328;1000524;1000308;1000325;1000196;1000242;1000382;1000031;1000168;1000236;1000423;1000327;1000285;999929;1000237;1000368;1000210;1000182;1000203;1000440;1000336
1684147294.632367;217.864;23.7538;0;1000155;1000197;1000270;1000509;1000156;1000332;1000175;1000100;1000331;1000343;1000249;1000448;1000421;1000340;1000531;1000219;1000482;1000354;1000322;1000189;1000365;1000067;1977527;1000369;1000447;1000185;1001117;1000324;1000417;1000092;1000265;1000322;1000405;1000208;1000055;1000428;1000399;1000201;1000473;1000299;1000438;1000385;1000068;1000235;1000184;1000211;1000476;1000405;1000010;1000360;1000356;1000505;1000382;1000343;1000144;1000029;1000243;1000279;1000230;1000450;1000150;1000174;1000306;1000097
1684147295.916375;253.502;27.4499;0;1000197;1000039;1000624;1000173;1000219;1000270;1000638;1000054;1000410;1000231;1000153;1000116;1000464;1000121;1000120;1000480;1000394;1000274;1000422;1000313;1000068;1000252;1663340;1000107;1000723;1000288;1000436;1000256;1000419;1000375;1000138;1000171;999939;1000328;1000042;1000431;1000187;1000316;1000292;1000368;1000172;1000522;1000568;1000081;1000243;1000261;1000255;1000110;1000112;1000624;1000113;1000203;1000373;1000157;1000110;1000609;1688938;1000463;1000477;1000395;1000208;1000406;1000048;1000084
1684147297.204384;289.174;31.1324;0;1000064;1000180;1000095;1000244;1000105;1000359;1000150;1000406;1000445;1000179;1000064;1000444;1000237;1000214;3386441;1000466;2339618;1000722;1000380;1000343;1000157;1000265;1000156;1000085;3355400;1000486;3002357;1000380;1000394;1000132;3365968;1000192;1000808;1000233;1000067;1000167;1000317;1000511;3228240;1000810;1000268;1000402;2940029;1000244;3271388;1000415;3248726;1000078;2195173;1000285;1000258;1000211;1000375;1000298;1000038;1000323;3222071;1000379;3261476;1000250;1000481;1000455;3281318;1000436
1684147298.488386;424.219;47.8162;0;1000139;1000355;1235623;1000060;1000385;1000238;3100116;1000187;1000156;1000347;2198961;1000064;3181806;1000438;3297859;1000177;2269440;1000120;1000340;1000468;1000315;1000445;999879;1000304;3100419;1000238;3400501;1000351;1000075;1000333;3091092;1000405;1000749;1000314;1000037;1000258;1000218;1000260;3219764;1000270;1000386;1000065;2543163;1000344;3272869;999930;3157735;1000354;2652954;1000168;1000146;1000316;1192757;1000412;1000368;1000285;3232736;1000163;3258308;1000239;1000163;1000371;3252616;1000154
1684147299.772382;612.467;72.2652;0;1000235;1000067;1252526;1000019;1000141;1000202;3401553;1000116;1500312;1000077;1000327;1000381;3099688;1000286;3175178;1000029;2193856;1000341;2028485;1000333;1000142;1000253;1525091;1000133;3100458;1000407;3323677;1000133;1000299;1000232;3284219;1000233;1000632;1000217;999991;1000175;1000392;1000250;3262782;1000328;1000094;1000706;999918;1000229;3222089;1000049;3273799;1000111;1187094;1000236;1198509;1000177;1000345;1000247;1000030;1000155;3266431;1000390;3251377;1000176;1000320;1000401;3192466;1000142
1684147301.56391;799.84;96.3644;0;1000126;1000022;1713675;999941;1000276;1000210;3309928;1000038;2033521;1000124;1000308;1000148;3319988;1000336;3212812;1000310;1000278;1000355;1000500;1000253;1000458;1000098;1000327;1000122;3317830;1000341;3400921;1000233;1000640;1000151;3266058;1000137;1001217;1000342;1000316;999835;1000324;1000078;3298214;1000191;1000128;1000465;1000384;1000329;3240744;1000230;3281434;1000577;1000241;1000383;1000277;1000181;1000344;1000358;1000349;1000258;3226018;1000278;3256715;999819;1000093;1000371;3398453;1000196
1684147302.340384;987.258;120.363;0;1000265;1000587;1000575;999993;1000042;1000366;3252497;1000391;1000222;1000323;1000637;1000457;3401528;1000106;3187497;1000129;1000443;1000302;1000151;1000361;1000093;1000057;1000017;1000415;3291581;1000464;3098611;1000198;1000165;1000180;3280472;1000113;1001015;1000240;1000079;1000363;1000273;1000318;3206442;1000550;1000250;1000301;1000179;1000483;3235753;1000268;3237693;1000087;999981;1000511;1000700;1000299;999952;1000336;1000331;1000133;3275522;1000316;3212468;1000324;1000219;1000332;3395152;1000322
