TIMESTAMP;CPU;RAM;GPU
1700524447.420556;3.07892;0;0
1700524448.418851;38.2205;0;0
1700524449.418669;192.752;0;0
1700524450.417673;349.001;0;0
1700524451.416942;505.092;0;0
1700524452.415937;661.361;0;0
1700524453.414991;817.621;0;0
1700524454.414300;973.923;0;0
1700524455.413485;1130.04;0;0
1700524456.412620;1286.35;0;0
1700524457.411569;1442.61;0;0
1700524458.410851;1598.59;0;0
1700524459.410037;1754.79;0;0
1700524460.409181;1911;0;0
1700524461.408236;2067.99;0;0
1700524462.407446;2224.55;0;0
1700524463.406539;2380.88;0;0
1700524464.405868;2537.2;0;0
1700524465.404895;2693.44;0;0
1700524466.403919;2849.95;0;0
1700524467.403127;3006.34;0;0
1700524468.402277;3162.59;0;0
1700524469.401412;3318.62;0;0
1700524470.400548;3474.84;0;0
1700524471.399642;3631.25;0;0
1700524472.398833;3787.6;0;0
1700524473.398011;3943.8;0;0
1700524474.397295;4100.25;0;0
1700524475.396228;4256.6;0;0
1700524476.396024;4398.4;0;0
1700524477.394825;4533.48;0;0
1700524478.394164;4668.56;0;0
1700524479.393267;4803.52;0;0
1700524480.392158;4938.34;0;0
1700524481.392318;5005.76;0;0
1700524482.391395;5039.88;0;0
1700524483.390440;5072.54;0;0
1700524484.389659;5106.87;0;0
