FULL;PG1;PG2
14.465748;0;0
85.60386;0;0.36898
88.84554;29.647367000000003;59.10159
88.984104;29.46876;58.93751999999999
89.059016;29.815407999999998;59.630815999999996
89.03408;29.485310999999996;58.970622
89.09555;29.601777000000002;59.397030000000015
89.08519;29.502236999999997;59.004474
89.13751;29.680484999999997;59.36097
89.12682;29.676609;59.353218000000005
89.16299;29.656386;59.31277200000001
89.15434;29.525135999999996;59.050272
89.17194;29.91762;59.641598
89.19355;29.442531000000002;59.077496000000004
89.21855;29.77184;59.446703
89.20878;29.543166;59.08633199999999
89.19873;29.829757999999998;59.756366
89.24053;29.585700000000003;59.1714
89.32411;29.871372;59.452731
89.266136;29.594187;59.188373999999996
89.313176;29.674083;59.639088
84.19417;32.570688000000004;32.570688000000004
75.02304;27.826728;41.740092
65.812852;0;46.009437000000005
55.315056;0;54.605888
55.38172;0;55.02442
55.333944;0;54.624536000000006
55.23435;0;54.879144
51.80853;0;0
14.567851;0;0
14.103514;0;0
14.131465;0;0
