RAPL;ALL;PG1;PG2
0.0531005859375;0;0;0
14.17254638671875;0;0;0
13.88189697265625;0;0;0
13.87359619140625;0;0;0
14.23492431640625;0;0;0
53.607666015625;0;0;0
55.2601318359375;0;0;0
55.23968505859375;0;0;0
55.10693359375;0;0;0
55.27685546875;0;0;0
55.17724609375;0;0;0
55.18389892578125;0;0;0
55.18731689453125;0;0;0
55.14215087890625;0;0;0
55.2283935546875;0;0;0
55.18060302734375;55.068800455080066;27.47708605744818;27.47951613919385
55.25506591796875;55.06413350356171;27.47551745145021;27.47628288989427
55.2117919921875;55.06645614586371;27.476626451298507;27.478144180598893
55.2733154296875;55.18366990361955;27.47622343838529;27.478464875999016
55.29669189453125;55.064088352101734;27.475809564305756;27.47622115190313
55.23406982421875;55.067498248679456;27.477286706322577;27.478552338276995
55.357666015625;55.06091914525855;27.47554660554603;27.473839660391114
55.27105712890625;55.06526477584679;27.475602627174077;27.476511549860792
55.32904052734375;55.06760000631944;27.477587965738806;27.478235644500057
55.3455810546875;55.059854753388656;27.473828798960696;27.4754945855986
55.26116943359375;55.066037138319224;27.47692828239868;27.47836369404351
55.33941650390625;55.06393867184923;27.475732391556534;27.479719074808482
55.34912109375;55.06453137989365;27.475953620005164;27.47619314090995
55.315673828125;55.186935107684604;27.476576717796767;27.478626652650725
55.36248779296875;55.069663042566184;27.477544520383482;27.47854547842323
55.325927734375;55.05710273430327;27.470883661132447;27.471928636282403
55.399658203125;55.057349099148716;27.47270379296463;27.469436244675666
55.2794189453125;55.070656890661695;27.4733468985493;27.474066605245483
55.30029296875;55.05360828273165;27.47625945242722;27.464684123131313
55.3017578125;55.043810796138295;27.464753864247317;27.466535123967972
55.36248779296875;55.044573345659074;27.458658366509255;27.472532869796037
55.3349609375;55.04707888916471;27.46608695080284;27.467642408997946
55.30511474609375;55.048100427876435;27.469771802967824;27.46486762263194
55.3272705078125;55.17141759942074;27.46756066313734;27.46900121953025
44.15911865234375;38.19269076479185;21.388208768286226;16.700213460919688
13.9522705078125;0;0;0
13.9237060546875;0;0;0
13.80023193359375;0;0;0
13.79876708984375;0;0;0
