TIMESTAMP;CPU;RAM;GPU
1700079397.119808;2.8382;0;0
1700079398.118864;31.9119;0;0
1700079399.118406;137.219;0;0
1700079400.117527;247.814;0;0
1700079401.116552;358.339;0;0
1700079402.115745;469.125;0;0
1700079403.114906;580.008;0;0
1700079404.113813;690.927;0;0
1700079405.113137;802.04;0;0
1700079406.112287;913.379;0;0
1700079407.111478;1024.52;0;0
1700079408.110459;1135.65;0;0
1700079409.109730;1246.12;0;0
1700079410.108841;1357.18;0;0
1700079411.108176;1468.23;0;0
1700079412.107285;1579.2;0;0
1700079413.106427;1690.04;0;0
1700079414.105295;1800.91;0;0
1700079415.104565;1911.78;0;0
1700079416.103791;2022.52;0;0
1700079417.102994;2133.22;0;0
1700079418.102194;2244.04;0;0
1700079419.101224;2354.79;0;0
1700079420.100345;2464.91;0;0
1700079421.99602;2575.55;0;0
1700079422.98685;2686.18;0;0
1700079423.97846;2796.92;0;0
1700079424.97011;2907.94;0;0
1700079425.96145;3018.98;0;0
1700079426.95337;3130.04;0;0
1700079427.94469;3241.12;0;0
1700079428.93627;3351.99;0;0
1700079429.92732;3462.87;0;0
1700079430.91838;3573.62;0;0
1700079431.90916;3684.06;0;0
1700079432.90231;3794.88;0;0
1700079433.89357;3905.64;0;0
1700079434.88492;4016.41;0;0
1700079435.87623;4127.25;0;0
1700079436.86932;4238.09;0;0
1700079437.86054;4348.96;0;0
1700079438.85091;4459.56;0;0
1700079439.84067;4570.17;0;0
1700079440.83474;4680.93;0;0
1700079441.82633;4791.79;0;0
1700079442.81591;4905.53;0;0
1700079443.80686;5019.49;0;0
1700079444.79775;5133.69;0;0
1700079445.79082;5247.82;0;0
1700079446.78179;5362.05;0;0
1700079447.77187;5476.26;0;0
1700079448.76362;5590.41;0;0
1700079449.75779;5706.47;0;0
1700079450.74851;5822.17;0;0
1700079451.73853;5937.89;0;0
1700079452.73404;6047.08;0;0
1700079453.72286;6076.94;0;0
1700079454.71938;6103.22;0;0
1700079455.71021;6133.39;0;0
