TIMESTAMP;CPU;RAM;GPU
1700500397.759292;0.594604;0;0
1700500398.758603;14.8899;0;0
1700500399.757089;95.1189;0;0
1700500400.756067;177.869;0;0
1700500401.755124;260.606;0;0
1700500402.754243;343.365;0;0
1700500403.753259;426.186;0;0
1700500404.752351;508.917;0;0
1700500405.751432;591.753;0;0
1700500406.750445;674.494;0;0
1700500407.749498;757.313;0;0
1700500408.748561;840.08;0;0
1700500409.747619;922.826;0;0
1700500410.746693;1005.57;0;0
1700500411.745744;1088.39;0;0
1700500412.744825;1171.15;0;0
1700500413.743860;1253.9;0;0
1700500414.742906;1336.65;0;0
1700500415.741958;1419.49;0;0
1700500416.741072;1502.3;0;0
1700500417.740084;1585.1;0;0
1700500418.739145;1667.96;0;0
1700500419.738697;1733.97;0;0
1700500420.737879;1792.83;0;0
1700500421.737003;1851.64;0;0
1700500422.736781;1884.42;0;0
1700500423.735765;1898.41;0;0
1700500424.734928;1912.45;0;0
1700500425.734123;1926.49;0;0
