RAPL;ALL;PG1;PG2
0.02667236328125;0;0;0
14.18536376953125;0;0;0
13.8648681640625;0;0;0
13.83782958984375;0;0;0
14.13739013671875;0;0;0
47.14263916015625;0;0;0
48.7177734375;0;0;0
48.7896728515625;0;0;0
48.72802734375;0;0;0
48.775146484375;0;0;0
48.75244140625;0;0;0
48.79351806640625;0;0;0
48.75836181640625;0;0;0
48.79998779296875;0;0;0
48.72772216796875;0;0;0
48.814697265625;48.58997839141444;16.151365277673424;32.297597649736595
48.740478515625;48.59950966133025;16.153489795956986;32.311158484506265
48.805419921875;48.590625788102386;16.151595110209065;32.302342631634986
48.75067138671875;48.72680158851502;16.151878756481057;32.298353081057975
48.82464599609375;48.597705781620476;16.153178577277366;32.31087149991455
48.76678466796875;48.589562426523585;16.151433822223165;32.29867097993319
48.805908203125;48.60416959183428;16.158135925998664;32.304469132308995
48.7991943359375;48.592046110316744;16.152810265319168;32.30639871528847
48.78778076171875;48.593438548178284;16.15277329964623;32.30464925479459
48.81707763671875;48.58622435778148;16.150787273054966;32.300559563968754
48.774658203125;48.591278564497664;16.152859993391147;32.3053556249489
48.83917236328125;48.59302059726204;16.152857313144636;32.305554566293495
48.78070068359375;48.5912071088727;16.15003383875392;32.30346233254219
48.84112548828125;48.74192052071827;16.156189560995514;32.313313215559425
48.81646728515625;48.60359180278005;16.155706314627064;32.310458835655865
48.83160400390625;48.601127400100346;16.15576949792697;32.31135473339482
48.77227783203125;48.604382234635956;16.156153938645886;32.3118534306304
48.81561279296875;48.60488552339838;16.155636434783023;32.310177899969645
48.8126220703125;48.603890358034946;16.156772911238644;32.31326415225342
48.8272705078125;48.60353807808922;16.155582030794648;32.310573088035724
48.81292724609375;48.59934309068505;16.155680812927145;32.310776732438
48.8447265625;48.602745830518266;16.156054521421304;32.311999270542316
48.86798095703125;48.60442184721525;16.155901956731658;32.310302902609436
48.6851806640625;48.364736729777874;15.774156105115557;32.31295700592098
34.2728271484375;24.750539491412045;0.0;24.61333183912884
13.97637939453125;0;0;0
13.85675048828125;0;0;0
13.81854248046875;0;0;0
13.80853271484375;0;0;0
