timestamp;RAPL;glob;PG1;PG2
1700871730711.0;0.0286865234375;0;0;0
1700871731713.0;14.09912109375;0;0;0
1700871732714.0;13.954345703125;0;0;0
1700871733715.0;13.89666748046875;0;0;0
1700871734716.0;14.055908203125;0;0;0
1700871735718.0;13.8353271484375;0;0;0
1700871736719.0;13.7620849609375;0;0;0
1700871737721.0;13.95343017578125;0;0;0
1700871738722.0;81.69244384765625;0;0;0
1700871739722.0;84.192138671875;0;0;0
1700871740723.0;84.23553466796875;0;0;0
1700871741723.0;84.237548828125;0;0;0
1700871742724.0;84.15203857421875;0;0;0
1700871743724.0;84.281494140625;0;0;0
1700871744725.0;84.291259765625;0;0;0
1700871745725.0;84.20623779296875;0;0;0
1700871746726.0;84.26605224609375;0;0;0
1700871747726.0;84.2449951171875;0;0;0
1700871748727.0;84.2718505859375;0;0;0
1700871749727.0;84.189208984375;84.23543721765623;42.09574598248988;42.09623335728269
1700871750728.0;84.30181884765625;84.23274350769523;42.094602054244156;42.095598718164
1700871751728.0;84.21893310546875;84.2355213686996;42.097269467004104;42.09568286920736
1700871752729.0;84.30889892578125;84.2329161926488;42.09470461332826;42.09501404372729
1700871753729.0;84.3104248046875;84.2454424260828;42.101127704684984;42.10155328105533
1700871754730.0;84.33636474609375;84.24515534830466;42.10126532670382;42.10115838475288
1700871755730.0;84.3173828125;84.24892242235522;42.103069752982606;42.10340942516285
1700871756731.0;84.25543212890625;84.24642331168201;42.10183904397342;42.101707996254845
1700871757732.0;84.33740234375;84.24689227843407;42.1015125203937;42.1020003334732
1700871758732.0;84.40325927734375;84.28231548482326;42.10063550873865;42.10152260098744
1700871759733.0;84.40704345703125;84.24789683151423;42.102266373490494;42.103065370115765
1700871760734.0;84.5518798828125;84.25896839144342;42.110025800947305;42.10618860102726
1700871761735.0;84.4976806640625;84.28099361218376;42.1109264800833;42.113287968737694
1700871762735.0;84.452880859375;84.25235727509919;42.10287909827499;42.10305791924213
1700871763736.0;84.4854736328125;84.24791655441503;42.10189996582252;42.10236411142107
1700871764737.0;84.45294189453125;84.24797922941086;42.10191968872331;42.10174130604285
1700871765737.0;84.649169921875;84.24982485463796;42.10521516630169;42.10234351194691
1700871766738.0;84.81591796875;84.25122386573388;42.101846494847045;42.10545096453778
1700871767739.0;84.2353515625;83.28364640340702;41.58394196647336;41.64764211486609
1700871768741.0;14.41033935546875;0;0;0
1700871769742.0;13.91424560546875;0;0;0
1700871770743.0;13.98663330078125;0;0;0
1700871771744.0;13.9136962890625;4.364115608824035;0.0;0.0
1700871772746.0;13.91278076171875;4.593060263167178;0.0;0.0
