FULL;PG1;PG2
33.822184;0;0
272.07638;14.244030000000006;17.350445
277.19258;137.9457730000001;137.63965100000007
249.2297;124.80403199999998;124.15042899999997
249.20195;124.3952910000001;124.15535000000008
249.2172;124.55698199999989;124.10979899999992
249.25363;124.78105600000004;124.12972900000005
249.2812;124.53734799999994;124.29646199999993
249.32648;124.61161699999992;124.09541199999994
249.19302;124.75127299999988;124.20095199999993
249.40421;124.66766499999997;124.42666099999997
249.2286;124.49388799999997;124.11548799999997
249.24645;124.50279299999991;124.22757399999992
249.37275;124.6691439999999;120.29780699999992
249.22656;120.72555500000006;120.38151200000004
249.28595;116.84953800000002;120.46237700000002
249.20827;120.45008099999994;120.45008199999994
249.29818;124.52863800000004;120.26183900000004
249.37003;124.68500799999991;120.38196199999993
249.24674;120.92507599999995;120.27143099999996
249.27466;120.69777200000006;120.42252200000006
249.18422;120.68839099999995;120.20687499999997
249.24626;116.874876;120.269013
249.3154;124.22907899999994;120.52586599999995
249.30531;120.64043199999995;120.67472599999999
249.26648;124.17042499999998;120.60506699999998
249.24243;124.38121399999993;120.57572599999992
249.31158;120.71207199999992;120.40343299999992
249.26109;120.58474400000006;120.24188300000006
249.3129;120.83323699999995;120.31890799999995
249.23168;124.54727400000004;120.29627800000003
249.30317;124.61728799999996;120.36507399999995
249.23027;124.42727199999996;120.39696199999996
249.26224;120.85232199999994;120.54454899999996
249.23882;120.52007000000005;120.72503600000005
249.3022;124.22389300000005;120.77228000000005
249.44494;124.68827499999996;120.41461499999997
249.09934;120.50438500000004;120.23128800000003
249.30394;120.50260100000001;120.60547900000002
249.20163;144.01156200000003;40.62069599999999
245.48685;223.35170900000014;0
250.53824;241.8404539999999;0
249.47718;241.15647700000005;0
249.27808;248.37688700000012;0
249.28146;240.64982899999987;0
249.28835;240.7231380000001;0
249.28253;240.65083399999992;0
249.2167;247.97371399999992;0
249.32922;247.80974000000006;0
249.21046;203.282487;0
235.96282;108.77279999999999;0
104.93976;0;0
32.89874;0;0
31.505164;0;0
