TIMESTAMP;CPU;RAM;GPU
1700529683.935810;3.75952;0;0
1700529684.935241;36.7468;0;0
1700529685.931115;267.95;0;0
1700529686.930086;505.045;0;0
1700529687.929175;742.866;0;0
1700529688.928199;981.941;0;0
1700529689.927241;1221.41;0;0
1700529690.926467;1459.16;0;0
1700529691.925365;1699.3;0;0
1700529692.924435;1939.55;0;0
1700529693.923682;2179.04;0;0
1700529694.922723;2416.71;0;0
1700529695.921670;2654.37;0;0
1700529696.920698;2893.65;0;0
1700529697.919762;3133.83;0;0
1700529698.918874;3374.28;0;0
1700529699.917880;3614.35;0;0
1700529700.916969;3854.65;0;0
1700529701.919910;4077.75;0;0
1700529702.920188;4178.37;0;0
1700529703.919484;4209.66;0;0
1700529704.918213;4240.86;0;0
1700529705.916876;4273.63;0;0
