TIMESTAMP;CPU;RAM;GPU
1700528071.981329;2.9931;0;0
1700528072.980396;37.1914;0;0
1700528073.979531;189.067;0;0
1700528074.978656;343.751;0;0
1700528075.977706;498.405;0;0
1700528076.976827;653.16;0;0
1700528077.975761;808.024;0;0
1700528078.975146;962.796;0;0
1700528079.974271;1117.78;0;0
1700528080.973479;1272.79;0;0
1700528081.972586;1427.83;0;0
1700528082.971541;1582.46;0;0
1700528083.970787;1737.51;0;0
1700528084.969984;1892.74;0;0
1700528085.969206;2047.87;0;0
1700528086.968250;2203.16;0;0
1700528087.967418;2358.46;0;0
1700528088.966631;2513.93;0;0
1700528089.965761;2669.31;0;0
1700528090.964870;2824.79;0;0
1700528091.963963;2980.38;0;0
1700528092.963087;3135.88;0;0
1700528093.962213;3291.32;0;0
1700528094.961351;3447.09;0;0
1700528095.960463;3602.89;0;0
1700528096.959615;3758.59;0;0
1700528097.958912;3914.42;0;0
1700528098.957921;4070.29;0;0
1700528099.957095;4226;0;0
1700528100.956267;4381.64;0;0
1700528101.955516;4537.38;0;0
1700528102.954582;4693.11;0;0
1700528103.953692;4848.83;0;0
1700528104.952793;5004.18;0;0
1700528105.952571;5145.66;0;0
1700528106.951560;5278.15;0;0
1700528107.950746;5410.35;0;0
1700528108.950368;5497.09;0;0
1700528109.949620;5530.52;0;0
1700528110.948797;5563.23;0;0
1700528111.947920;5595.66;0;0
