TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1684839295.112135;#SYSTEM;35787;57037373;49593269;168501372
1684839295.112135;/sys/fs/cgroup/anon.slice/anon_service.service;9344;16333726;17253483;7987404
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu0;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu1;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu2;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu3;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu4;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu5;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu0;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu1;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu2;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu3;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu4;0;0;0;0
1684839295.112135;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu5;0;0;0;0
1684839296.13324;#SYSTEM;894094;300759094;400159367;11986649115
1684839296.13324;/sys/fs/cgroup/anon.slice/anon_service.service;1205;94008;759317;687685
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu0;0;0;0;6323
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu1;0;0;0;17090
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu2;0;0;0;0
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu3;0;0;0;2312
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu4;0;0;0;2524
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d11\x2dcloverleaf0.scope/libvirt/vcpu5;4653;99064;400473;377368
1684839296.13324;/sys/fs/cgroup/machine.slice/machine-qemu\x2d12\x2dcompress0.scope/libvirt/vcpu0;0;0;0;45634
