RAPL;ALL;PG1;PG2
0.02691650390625;0;0;0
14.23040771484375;0;0;0
14.0177001953125;0;0;0
13.8331298828125;0;0;0
14.23345947265625;0;0;0
64.16143798828125;0;0;0
65.815185546875;0;0;0
65.88336181640625;0;0;0
65.63128662109375;0;0;0
65.78656005859375;0;0;0
65.8197021484375;0;0;0
65.838623046875;0;0;0
65.90399169921875;0;0;0
65.85614013671875;0;0;0
65.9503173828125;0;0;0
65.9810791015625;65.66117454218232;26.2232101371242;39.34416262405542
66.04620361328125;65.6632193539671;26.22372728805955;39.34503215120444
66.07879638671875;65.66467490361919;26.223383783609812;39.344637253259826
66.04351806640625;65.77127894238424;26.223021311436074;39.34441168102586
66.097412109375;65.66322982900127;26.224069343417238;39.34384637773692
66.138916015625;65.65785211081887;26.2231370095423;39.34000123679555
66.13250732421875;65.6627135069747;26.223625104819728;39.34411346833158
66.099365234375;65.66143943440171;26.223329777110237;39.34359458894948
66.18255615234375;65.66210938836335;26.223809671545112;39.343837635343846
66.209716796875;65.66142682358682;26.223053358411324;39.34400204687853
66.13323974609375;65.6623387092932;26.223479143383983;39.344455924809786
66.1685791015625;65.5585386980589;26.11801765827539;39.34459137392173
66.18658447265625;65.64503430948454;26.214303214269073;39.34490269800695
66.2237548828125;65.77150914003877;26.221950515975944;39.34420413411773
66.22589111328125;65.65960695074568;26.221950046819217;39.34400532215835
66.1947021484375;65.64815646537826;26.221641705018335;39.33433838611057
66.24603271484375;65.66018516295063;26.22149707308221;39.34453566854516
66.228759765625;65.6604337968822;26.22255023108754;39.34413586087544
66.25299072265625;65.65842403181294;26.22183215102561;39.34417409250136
66.207763671875;65.65897990713265;26.222374396257955;39.343552533152916
66.2540283203125;65.660006324657;26.222995548217437;39.343838736642304
66.2584228515625;65.65993033089929;26.222461321680864;39.34398565740163
66.2138671875;65.6621523604473;26.22205843876304;39.34427022236328
66.265869140625;65.77888850350625;26.22264803472678;39.34503816028461
58.26220703125;51.17627669434496;26.25516358960077;24.8083500454188
43.54864501953125;26.93330379609264;26.655047628578572;0.0
14.29302978515625;0;0;0
13.8681640625;0;0;0
13.8055419921875;0;0;0
13.82366943359375;0;0;0
13.76446533203125;0;0;0
