TIMESTAMP;CPU;RAM;GPU
1700525386.171381;3.07416;0;0
1700525387.170051;37.4232;0;0
1700525388.169378;192.997;0;0
1700525389.168415;350.866;0;0
1700525390.167472;508.831;0;0
1700525391.166607;666.73;0;0
1700525392.165863;824.722;0;0
1700525393.164999;982.829;0;0
1700525394.164098;1140.87;0;0
1700525395.163300;1298.87;0;0
1700525396.162448;1457.06;0;0
1700525397.161497;1614.99;0;0
1700525398.160600;1772.93;0;0
1700525399.159612;1931.14;0;0
1700525400.158704;2089.37;0;0
1700525401.157879;2247.63;0;0
1700525402.157343;2406.03;0;0
1700525403.156134;2564.61;0;0
1700525404.155525;2723.27;0;0
1700525405.154728;2882.08;0;0
1700525406.153877;3041.05;0;0
1700525407.152918;3200.01;0;0
1700525408.151984;3358.82;0;0
1700525409.151168;3517.91;0;0
1700525410.150323;3677.22;0;0
1700525411.149493;3836.55;0;0
1700525412.148637;3995.95;0;0
1700525413.147833;4154.63;0;0
1700525414.147512;4291.34;0;0
1700525415.147414;4380.28;0;0
1700525416.146366;4413.79;0;0
1700525417.145591;4447.18;0;0
1700525418.144533;4479.59;0;0
