FULL;PG1;PG2
14.032428;0;0
70.17697;0;0
73.58421;36.427822;36.792102
73.56714;36.722966;36.722967000000004
73.63361;36.695293;36.938309
73.57807;36.607211;36.728426999999996
73.58473;36.610524;36.610524
73.57764;36.606995;36.849426
73.58655;36.732458;36.975719
73.60952;36.804757;36.68408600000001
73.57337;36.60487;36.847286
73.59055;36.613419;36.734655000000004
73.59338;36.614827;36.736067999999996
73.59496;36.736655999999996;36.8583
73.628296;36.693444;36.814146
73.60191;36.619073;36.861582999999996
73.581464;36.608897999999996;36.730119
73.59759;36.616923;36.738171
73.59608;36.737215;36.858861
73.61641;36.808201;36.808201
73.59029;36.613287;36.855759
73.59702;36.616639;36.737886
73.58942;36.61286;36.734094
73.59873;36.738537;36.860186999999996
73.597544;36.678121000000004;36.798773
73.60194;36.679508999999996;36.922419999999995
73.59251;36.554173;36.554173
73.58962;36.733988000000004;36.97726
73.59299;36.614633;36.735873
73.593144;36.615306000000004;36.856992000000005
73.59459;36.676249;36.797292
73.589576;36.491699000000004;36.612934
54.317936;49.73690400000001;0
36.59534;0;0
14.211047;0;0
13.885778;0;0
13.900996;0;0
