timestamp;RAPL;glob;PG1;PG2
1700756265549.0;0.05462646484375;0;0;0
1700756266550.0;14.17364501953125;0;0;0
1700756267552.0;14.006591796875;0;0;0
1700756268553.0;14.06854248046875;0;0;0
1700756269554.0;13.738525390625;0;0;0
1700756270555.0;13.861083984375;0;0;0
1700756271557.0;13.76385498046875;0;0;0
1700756272558.0;13.8916015625;0;0;0
1700756273559.0;51.59173583984375;0;0;0
1700756274560.0;53.33746337890625;0;0;0
1700756275561.0;53.33184814453125;0;0;0
1700756276562.0;53.36798095703125;0;0;0
1700756277563.0;53.4322509765625;0;0;0
1700756278565.0;53.35772705078125;0;0;0
1700756279566.0;53.3551025390625;0;0;0
1700756280567.0;53.50048828125;0;0;0
1700756281568.0;53.407470703125;0;0;0
1700756282569.0;53.4080810546875;0;0;0
1700756283570.0;53.4322509765625;53.349897954201026;17.681787854190347;35.3636617520576
1700756284571.0;53.435302734375;53.1999536013726;17.68113200563025;35.3620674386503
1700756285572.0;53.4501953125;53.201083555063974;17.68119981646552;35.36317079035963
1700756286573.0;53.4227294921875;53.20277307827392;17.68152854121128;35.36352711370231
1700756287575.0;53.43280029296875;53.20309376445445;17.681685664676923;35.36303578400591
1700756288576.0;53.493408203125;53.2000455212872;17.681410251126795;35.36218357263063
1700756289577.0;53.41357421875;53.20073204703014;17.68158629704319;35.36289565849554
1700756290578.0;53.45355224609375;53.2012216707207;17.68157052206718;35.363026526875394
1700756291579.0;53.416015625;53.201408273150236;17.681472637854583;35.36322265195154
1700756292580.0;53.51739501953125;53.201931176326134;17.680779044884517;35.36200492621527
1700756293581.0;53.447265625;53.363271017313075;17.682601856620355;35.363284314462845
1700756294582.0;53.43994140625;53.20105813462058;17.680836691085787;35.36266966058447
1700756295583.0;53.45709228515625;53.20398877751371;17.681129443698115;35.363319180479834
1700756296584.0;53.4718017578125;53.21295947418329;17.68156476899908;35.3619313537674
1700756297586.0;53.45281982421875;53.202244601798824;17.680939712193776;35.363695677689506
1700756298587.0;53.508056640625;53.481547458622416;17.68201959713356;35.3631179661638
1700756299588.0;53.48577880859375;53.33611033898975;17.68173912720216;35.36295083175087
1700756300589.0;53.53704833984375;53.20665837573242;17.68189656286551;35.362754298100484
1700756301590.0;53.47576904296875;53.2048492616485;17.68205703688413;35.363458135939645
1700756302591.0;53.506103515625;53.20249860377286;17.682237249980524;35.362738976641914
1700756303592.0;53.5538330078125;53.204949340077164;17.681625405502583;35.363147293374894
1700756304593.0;53.55126953125;53.20343134072489;17.68265602821047;35.36259428926996
1700756305595.0;53.5394287109375;53.20093776695682;17.680613845420854;35.36326876514824
1700756306596.0;53.54425048828125;53.20129351058061;17.682035109016997;35.36154094898142
1700756307597.0;53.6868896484375;53.206947894281484;17.68262526475215;35.36581483927212
1700756308598.0;53.60992431640625;53.21061637200808;17.682342343856504;35.36276876211366
1700756309599.0;53.62542724609375;53.34504711858949;17.68136424504493;35.363088408733645
1700756310600.0;53.66131591796875;53.20375930702993;17.682066375678357;35.36219620304695
1700756311601.0;53.677734375;53.20524613660342;17.68141728756451;35.36298312224085
1700756312602.0;53.64190673828125;53.164874898882665;17.682417564883153;35.362578943093716
1700756313603.0;53.6060791015625;53.192203618665545;17.6810635394269;35.36292495010249
1700756314605.0;53.65264892578125;53.16192024554173;17.682161665644507;35.36231371932167
1700756315606.0;53.7464599609375;53.192154442664034;17.681989950611033;35.363624260188594
1700756316607.0;53.656494140625;53.16068552473767;17.6817254685888;35.36222158683214
1700756317608.0;51.8623046875;50.62739652888025;16.81818999218538;33.66616415522089
1700756318609.0;13.9234619140625;0;0;0
1700756319610.0;13.83648681640625;0;0;0
1700756320612.0;13.84259033203125;0;0;0
1700756321613.0;13.79095458984375;5.650738579818444;0.0;0.0
1700756322614.0;13.84954833984375;13.689609655832855;0.0;0.0
