TIMESTAMP;CPU;RAM;GPU
1700490707.579707;0.631775;0;0
1700490708.578997;15.0425;0;0
1700490709.577448;102.412;0;0
1700490710.576523;192.606;0;0
1700490711.575565;282.913;0;0
1700490712.574615;373.16;0;0
1700490713.573682;462.86;0;0
1700490714.572741;553.047;0;0
1700490715.571802;643.43;0;0
1700490716.570858;733.726;0;0
1700490717.569876;823.868;0;0
1700490718.568947;914.159;0;0
1700490719.568003;1004.23;0;0
1700490720.567071;1094.6;0;0
1700490721.566133;1184.8;0;0
1700490722.565175;1275.1;0;0
1700490723.564248;1365.41;0;0
1700490724.563290;1455.81;0;0
1700490725.562363;1546.07;0;0
1700490726.561412;1636.39;0;0
1700490727.560485;1726.74;0;0
1700490728.559534;1817.17;0;0
1700490729.559182;1884.13;0;0
1700490730.558792;1915.17;0;0
1700490731.557811;1929.36;0;0
1700490732.556947;1943.36;0;0
1700490733.556364;1957.48;0;0
