TIMESTAMP;CPU;RAM;GPU
1700497711.443215;0.620178;0;0
1700497712.442790;14.8649;0;0
1700497713.441011;90.8754;0;0
1700497714.439946;169.036;0;0
1700497715.439012;247.215;0;0
1700497716.438100;325.394;0;0
1700497717.437174;403.586;0;0
1700497718.436201;481.84;0;0
1700497719.435249;560.037;0;0
1700497720.434312;638.242;0;0
1700497721.433366;716.434;0;0
1700497722.432426;794.632;0;0
1700497723.431495;872.91;0;0
1700497724.430548;951.108;0;0
1700497725.429625;1029.32;0;0
1700497726.428670;1107.53;0;0
1700497727.427722;1185.82;0;0
1700497728.426798;1264.02;0;0
1700497729.425850;1342.21;0;0
1700497730.424900;1420.5;0;0
1700497731.423955;1498.72;0;0
1700497732.423011;1576.93;0;0
1700497733.422193;1654.4;0;0
1700497734.421210;1731.14;0;0
1700497735.420269;1806.11;0;0
1700497736.419318;1881.25;0;0
1700497737.418385;1956.4;0;0
1700497738.417433;2031.54;0;0
1700497739.416494;2106.75;0;0
1700497740.415553;2181.88;0;0
1700497741.414620;2257.02;0;0
1700497742.413687;2332.17;0;0
1700497743.412796;2405.96;0;0
1700497744.412256;2472.85;0;0
1700497745.411366;2529.42;0;0
1700497746.410374;2579.86;0;0
1700497747.409418;2630.2;0;0
1700497748.408658;2675.19;0;0
1700497749.407887;2708.53;0;0
1700497750.407192;2722.6;0;0
1700497751.406596;2736.64;0;0
1700497752.405610;2750.66;0;0
