TIMESTAMP;CPU;RAM;GPU
1700507293.698674;0.620178;0;0
1700507294.702269;15.5535;0;0
1700507295.696418;99.3024;0;0
1700507296.695506;185.625;0;0
1700507297.694512;272.498;0;0
1700507298.693601;359.529;0;0
1700507299.692621;446.687;0;0
1700507300.691681;533.894;0;0
1700507301.690732;621.218;0;0
1700507302.689805;708.497;0;0
1700507303.688870;795.793;0;0
1700507304.687914;883.076;0;0
1700507305.686988;970.467;0;0
1700507306.686042;1057.78;0;0
1700507307.685095;1145.09;0;0
1700507308.684161;1232.41;0;0
1700507309.683223;1319.72;0;0
1700507310.682278;1407.12;0;0
1700507311.681352;1494.43;0;0
1700507312.680392;1581.74;0;0
1700507313.679471;1669.05;0;0
1700507314.678516;1756.45;0;0
1700507315.677775;1841.52;0;0
1700507316.677391;1904.21;0;0
1700507317.676522;1950.46;0;0
1700507318.675646;1996.63;0;0
1700507319.674772;2042.73;0;0
1700507320.673951;2088.83;0;0
1700507321.673130;2134.89;0;0
1700507322.686867;2169.23;0;0
1700507323.672045;2183.08;0;0
1700507324.671170;2197.05;0;0
1700507325.670164;2211.14;0;0
